#	last_name	first_name	date_of_birth	age	height	weight	country	city	company	job	salary
22	Martin	Michael	1997-11-09	23	180	65	Sweden	Elizabethborough	Baker-Rodriguez	Chief Financial Officer	4669486
76	Barton	Michael	1910-09-19	110	171	60	Tokelau	Port Andrea	Smith-Evans	Chiropractor	5964278
139	Brown	Michael	1909-11-13	111	154	60	Togo	East Michael	Williams-Moore	Rural practice surveyor	7916251
300	Sanchez	Michael	1906-07-19	114	163	59	Colombia	Hernandezhaven	Neal LLC	Quarry manager	8074879
550	Mcmillan	Michael	1938-07-03	82	160	59	Syrian Arab Republic	New Sandra	Alvarez-Burns	Scientific laboratory technician	9846528
594	Miller	Michael	1922-12-16	98	167	60	Azerbaijan	Martinezview	Gomez, Gardner and Frost	Media buyer	2964067
604	Molina	Michael	1962-03-17	58	164	63	Montserrat	Port Cassandraton	Green PLC	Engineer, water	5037543
677	Brown	Michael	2015-10-12	5	150	53	Cook Islands	Port Mary	Mejia Group	Designer, industrial/product	9372092
692	Edwards	Michael	2000-07-19	20	177	60	Martinique	New Robert	Fernandez-Pierce	Psychologist, sport and exercise	4594623
696	Patrick	Michael	1991-02-02	29	170	63	Mozambique	Michellechester	Ellison, Williams and Osborn	Recruitment consultant	5653867
719	Joseph	Michael	1973-11-15	47	157	58	Bahrain	Jasonview	Khan-Hoover	Tax inspector	2554881
742	Tyler	Michael	2001-08-21	19	150	59	Dominica	New Summerfort	Fuller Group	Cytogeneticist	6253449
750	Flores	Michael	1939-11-16	81	172	58	Senegal	North Shane	Griffith Group	Media buyer	4007784
889	Rhodes	Michael	2008-12-14	12	161	62	India	Port Elizabethshire	Munoz Ltd	Radiographer, diagnostic	2032550
912	Ferguson	Michael	1934-08-23	86	165	60	Niue	Mistychester	Lester-Bell	Town planner	1170353
915	Torres	Michael	2010-01-18	10	169	59	Jordan	New Michael	Cooper, Casey and Lopez	Sales professional, IT	4851872
944	Clark	Michael	1948-12-09	72	169	63	Saint Kitts and Nevis	South Fredborough	Barker-Lamb	Midwife	3671452
946	Vasquez	Michael	1967-06-24	53	171	62	Seychelles	Jenniferfurt	Dean Ltd	Doctor, general practice	1527187
969	Johnson	Michael	1998-06-05	22	176	62	Saudi Arabia	North Donna	Wilson-Calderon	Oceanographer	5582582
