#,last_name,first_name,date_of_birth,age,height,weight,country,city,company,job,salary
0,Morales,Anthony,1940-09-01,80,154,56,Afghanistan,Welchland,"Vincent, Miranda and Griffin",Child psychotherapist,4009234
1,Hodges,Steven,1906-05-30,114,151,59,United Arab Emirates,Port Jennifershire,"Rodriguez, Thomas and Smith",Public relations officer,5712290
2,Orozco,Jessica,1999-02-06,21,173,60,Equatorial Guinea,Floydville,Allen-Hubbard,Radiation protection practitioner,5352525
3,Lawrence,Janice,1909-12-15,111,159,61,Malta,Sarahview,"Tate, Carr and Pittman",Commissioning editor,2988537
4,Morales,Jennifer,1981-10-23,39,170,65,French Southern Territories,Masonmouth,Rowland-Conley,Dance movement psychotherapist,3045989
5,Maldonado,William,1962-09-01,58,177,63,Slovenia,South Victor,Savage-Gordon,"Designer, jewellery",3178956
6,Murray,Caitlin,1918-12-05,102,178,62,Bangladesh,West Danielhaven,"Brown, Pierce and Sanders",Community arts worker,2191168
7,Baldwin,Jennifer,1932-08-13,88,175,64,Pitcairn Islands,South Jasmineborough,Dunn-Anderson,Tax inspector,5172910
8,Rogers,Sabrina,1946-01-27,74,180,61,Namibia,Port Kelsey,"Schmidt, Shaffer and Ramirez","Engineer, drilling",6870253
9,Diaz,Amber,2007-12-24,13,180,69,Gibraltar,Lake Jamesfort,Ward-Murphy,Radio broadcast assistant,4303923
10,Bruce,Joshua,1922-10-08,98,173,58,Saint Helena,South Jonburgh,Chandler-Shea,Intelligence analyst,6157778
11,Robinson,Danny,1911-06-05,109,178,65,Libyan Arab Jamahiriya,New Josephmouth,Graham-Skinner,Intelligence analyst,1065610
12,Silva,Richard,1924-10-07,96,151,57,Saudi Arabia,Riveraberg,"Phillips, Juarez and Moore",Oceanographer,9175790
13,Marks,Courtney,1940-06-19,80,175,65,Monaco,North Josephberg,Lewis Inc,Community arts worker,9556185
14,Miller,Diane,1909-08-09,111,155,57,Saint Lucia,North Ronaldfurt,"Wood, Shannon and King","Horticulturist, commercial",6654614
15,Peterson,Eric,1910-11-03,110,177,64,Benin,East Alanmouth,"Wood, Rodriguez and Jones","Surveyor, building",6627229
16,Mueller,Karen,1916-04-29,104,169,66,Mali,Hernandezside,"Mcmillan, Howard and White",Chief Financial Officer,8304341
17,Hunter,Daniel,1953-09-17,67,171,57,Syrian Arab Republic,Russellmouth,Manning-Gonzalez,Landscape architect,4119121
18,Brown,Heather,1997-03-26,23,151,50,French Polynesia,Saundersberg,Moore LLC,Art gallery manager,6965757
19,Black,Todd,1923-04-10,97,164,54,Zambia,Port Robertview,"Owens, Coleman and James","Conservator, museum/gallery",3531443
20,Gonzales,Stacey,2010-05-13,10,169,61,British Indian Ocean Territory (Chagos Archipelago),Christopherton,Jenkins PLC,Field trials officer,9465932
21,Griffith,Aaron,1906-05-10,114,161,62,Somalia,Jenniferland,Sexton Inc,Minerals surveyor,7823113
22,Martin,Michael,1997-11-09,23,180,65,Sweden,Elizabethborough,Baker-Rodriguez,Chief Financial Officer,4669486
23,Johnson,Vincent,1990-12-17,30,163,55,Saint Kitts and Nevis,Stephenfort,Gonzalez Group,Drilling engineer,9792456
